,LETTER,CC_DIGIT,WHITESPACE,PLUS,MINUS,STAR,SLASH,LT,GT,EQ,EXCLAMATION,SEMICOLON,COMMA,LPAR,RPAR,LBRACKET,RBRACKET,LBRACE,RBRACE,EOF,OTHER
START,ID,NUM,START,PLUS,MINUS,TIMES,DIV,LT,GT,ASSIGN,NOT,SEMICOLON,COMMA,LPAR,RPAR,LBRACKET,RBRACKET,LBRACE,RBRACE,END,OK
ID,ID,ERROR,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
NUM,ERROR,NUM,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
PLUS,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
MINUS,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
TIMES,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
DIV,OK,OK,OK,OK,LCOMMENT,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
LT,OK,OK,OK,OK,OK,OK,OK,OK,OK,LT_EQ,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
LT_EQ,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
GT,OK,OK,OK,OK,OK,OK,OK,OK,OK,GT_EQ,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
GT_EQ,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
EQ,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
NEQ,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
NOT,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,NEQ,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ASSIGN,OK,OK,OK,OK,OK,OK,OK,OK,OK,EQ,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
SEMICOLON,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
COMMA,OK,OK,OK,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,OK,ERROR
LPAR,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
RPAR,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
LBRACKET,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
RBRACKET,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
LBRACE,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
RBRACE,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,RCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT
RCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,START,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT,LCOMMENT